,ID,NAME,Lat,Lon,ELEVATION,State
0,USC00411133,"BROWNSVILLE, TX US",25.90083,-97.50389,5.5,TX
10000,US1TXCMR008,"BROWNSVILLE 6.4 SE, TX US",25.852338,-97.4174706,11.0,TX
12780,US1TXCMR017,"BROWNSVILLE 4.1 E, TX US",25.9274,-97.4166,13.1,TX
12800,USW00012919,"BROWNSVILLE S PADRE ISLAND INTERNATIONAL AIRPORT, TX US",25.91459,-97.42314,5.7,TX
13000,US1TXCMR042,"BROWNSVILLE 4.4 NE, TX US",25.9728,-97.4355,7.3,TX
51359,US1TXCMR103,"BROWNSVILLE 1.5 SW, TX US",25.9090393781662,-97.4980334937572,10.1,TX
51672,US1TXCMR046,"BROWNSVILLE 0.9 SW, TX US",25.916742,-97.492442,9.8,TX
51762,US1TXCMR090,"BROWNSVILLE 1.5 WNW, TX US",25.929928,-97.505535,9.8,TX
52442,US1TXCMR013,"BROWNSVILLE 2.2 W, TX US",25.9205,-97.5176,14.0,TX
56442,US1TXCMR051,"BROWNSVILLE 0.1 SSE, TX US",25.92316667,-97.48133333,7.9,TX
59533,USC00419649,"WEATHER FORECAST OFFICE BROWNSVILLE, TX US",25.9162,-97.4195,4.6,TX
61542,US1TXCMR023,"BROWNSVILLE 1.9 ESE, TX US",25.91828,-97.45274,13.1,TX
63762,US1TXCMR022,"BROWNSVILLE 0.4 WSW, TX US",25.923031,-97.488274,11.9,TX
70652,US1TXCMR043,"BROWNSVILLE 4.1 ENE, TX US",25.954693,-97.425658,6.7,TX
71442,US1TXCMR006,"BROWNSVILLE 1.0 N, TX US",25.93899,-97.48415,7.0,TX
71638,US1TXCMR126,"BROWNSVILLE 3.9 NNW, TX US",25.97883,-97.50062,7.9,TX
71646,US1TXCMR016,"BROWNSVILLE 3.5 N, TX US",25.9751,-97.4919,10.1,TX
71742,US1TXCMR089,"BROWNSVILLE 1.7 NNE, TX US",25.9474964141846,-97.4711074829102,7.0,TX
75042,US1TXCMR068,"BROWNSVILLE 2.3 NW, TX US",25.9478511810303,-97.5092544555664,10.1,TX
75332,US1TXGV0002,"BROWNSVILLE 2.9 N, TX US",25.9663238525391,-97.4835891723633,9.1,TX
75425,US1TXCMR091,"BROWNSVILLE 2.9 NNE, TX US",25.962116,-97.461258,5.2,TX
77037,US1TXCMR028,"BROWNSVILLE 2.8 N, TX US",25.9664,-97.4837,7.9,TX
78204,US1TXCMR038,"BROWNSVILLE 4.1 NNE, TX US",25.9830799,-97.4678659,6.1,TX
81717,US1TXCMR084,"BROWNSVILLE 2.2 WNW, TX US",25.940583,-97.513815,10.1,TX
82142,US1TXCMR098,"BROWNSVILLE 4.3 NW, TX US",25.970664,-97.528519,,TX
82442,US1TXCMR061,"BROWNSVILLE 6.4 WNW, TX US",25.9596786499023,-97.576789855957,12.2,TX
92072,US1TXCMR015,"BROWNSVILLE 4.9 NW, TX US",25.979505,-97.533699,11.9,TX
92255,US1TXCMR050,"BROWNSVILLE 5.0 NW, TX US",25.980082,-97.5348999,10.1,TX
93349,US1TXCMR031,"BROWNSVILLE 7.0 NW, TX US",25.997478,-97.570489,11.9,TX
95335,US1TXCMR025,"BROWNSVILLE 4.5 NNW, TX US",25.988,-97.5036,9.4,TX
95637,US1TXCMR001,"RANCHO VIEJO 0.7 E, TX US",26.0344,-97.5465,15.8,TX
97342,US1TXCMR099,"SAN BENITO 5.4 SSE, TX US",26.0605699,-97.617812,13.4,TX
100255,US1TXCMR065,"BROWNSVILLE 5.0 NNW, TX US",25.995,-97.501,6.4,TX
100403,US1TXCMR056,"LOS FRESNOS 0.8 SSE, TX US",26.064751,-97.473292,5.2,TX
101142,USC00410576,"BAY VIEW, TX US",26.11667,-97.4,6.1,TX
101488,US1TXCMR067,"SAN BENITO 7.8 E, TX US",26.118624,-97.510521,9.1,TX
101641,US1TXCMR105,"LOS FRESNOS 2.1 NNE, TX US",26.0994,-97.4628,9.4,TX
101785,US1TXCMR021,"LOS FRESNOS 0.3 NE, TX US",26.077132,-97.47585,11.0,TX
108442,US1TXCMR094,"BROWNSVILLE 12.6 E, TX US",25.947773,-97.281538,1.8,TX
111442,US1TXCMR037,"BROWNSVILLE 7.4 SE, TX US",25.86013,-97.387994,7.9,TX
111542,USR0000TLAG,"LAGUNA ATASCOSA TEXAS, TX US",26.2283,-97.3483,7.6,TX
112442,USC00417179,"PORT ISABEL, TX US",26.0949,-97.30696,3.7,TX
141548,US1TXCMR019,"SAN BENITO 5.0 SSE, TX US",26.06637,-97.61894,18.0,TX
143188,US1TXCMR101,"SAN BENITO 0.9 SSE, TX US",26.1243521,-97.63061,10.4,TX
143885,US1TXCMR117,"LOZANO 1.4 S, TX US",26.1696,-97.5428,7.6,TX
144237,US1TXCMR096,"SAN BENITO 6.3 ENE, TX US",26.1715773493052,-97.540669888258,10.1,TX
147107,US1TXCMR070,"SAN BENITO 0.6 SSE, TX US",26.1301,-97.6306,10.4,TX
147233,USC00417952,"SAN BENITO, TX US",26.13333,-97.63333,11.9,TX
152679,US1TXCMR124,"LAGUNA VISTA 1.2 WNW, TX US",26.1053522,-97.3114456,4.9,TX
152734,US1TXCMR058,"LAGUNA VISTA 0.3 N, TX US",26.10475,-97.29267,3.0,TX
153478,US1TXCMR059,"LAGUNA VISTA 1.2 NNW, TX US",26.115129,-97.303085,0.9,TX
154018,US1TXCMR127,"LAGUNA VISTA 1.8 NW, TX US",26.118537,-97.31314,4.9,TX
154434,USW00012957,"PORT ISABEL CAMERON CO AIRPORT, TX US",26.15966,-97.33781,5.1,TX
161624,USC00417953,"SAN BENITO FILTER PLANT, TX US",26.13333,-97.63333,11.9,TX
176911,US1TXCMR012,"HARLINGEN 2.6 ESE, TX US",26.1851,-97.6465,7.9,TX
180430,USC00413943,"HARLINGEN, TX US",26.2027,-97.6727,11.6,TX
198430,USC00415836,"MERCEDES 6 SSE, TX US",26.0619,-97.8997,22.9,TX
232422,US1TXHDL054,"MERCEDES 1.9 SW, TX US",26.12579,-97.9384,26.5,TX
233422,USC00415274,"LLANO GRANDE, TX US",26.2,-97.95,26.2,TX
235422,USC00418059,"SANTA ROSA 3 WNW, TX US",26.2655,-97.8713,15.2,TX
238422,USC00419588,"WESLACO, TX US",26.178,-97.9708,22.9,TX
268418,US1TXCMR032,"HARLINGEN 4.3 WSW, TX US",26.1718,-97.75173,14.9,TX
270518,US1TXCMR119,"HARLINGEN 3.1 WSW, TX US",26.1744,-97.7304,13.1,TX
270818,US1TXCMR078,"HARLINGEN 3.8 W, TX US",26.1891947686672,-97.7472851425409,13.1,TX
272038,US1TXCMR093,"HARLINGEN 4.4 W, TX US",26.201033,-97.756545,12.8,TX
272418,US1TXCMR085,"HARLINGEN 0.4 N, TX US",26.2010173797607,-97.6856231689453,11.3,TX
278418,US1TXCMR100,"HARLINGEN 6.2 WSW, TX US",26.163527,-97.780598,16.2,TX
281618,US1TXCMR018,"PALM VALLEY 2.2 SSW, TX US",26.17567,-97.76995,18.0,TX
282318,US1TXCMR036,"HARLINGEN 4.7 WSW, TX US",26.181045,-97.764346,14.0,TX
284468,US1TXCMR123,"HARLINGEN 4.7 W, TX US",26.1985,-97.7616,13.7,TX
284868,USC00417458,"RAYMONDVILLE, TX US",26.4644,-97.7848,9.4,TX
285418,USC00415444,"LYFORD, TX US",26.4,-97.8,,TX
285818,US1TXWC0001,"LYFORD 0.6 S, TX US",26.402261,-97.789051,14.0,TX
287038,US1TXWC0005,"RAYMONDVILLE 2.0 SSW, TX US",26.452045,-97.792376,10.1,TX
323377,US1TXCMR121,"HARLINGEN 4.2 W, TX US",26.20491,-97.75243,13.4,TX
325184,US1TXWC0003,"LYFORD 7.3 ESE, TX US",26.358021,-97.687975,8.5,TX
325329,US1TXWC0004,"RAYMONDVILLE 5.8 E, TX US",26.48282224,-97.68740774,6.7,TX
325410,US1TXCMR087,"HARLINGEN 3.1 SSW, TX US",26.1546001434326,-97.7065124511719,13.4,TX
325568,USC00410345,"ARMSTRONG 4 SE, TX US",26.8338,-97.7077,7.6,TX
330610,USC00418081,"SARITA 7 E, TX US",27.2169,-97.6955,11.6,TX
346892,USC00410342,"ARMSTRONG, TX US",26.93333,-97.8,7.6,TX
346900,US1TXKL0001,"KINGSVILLE 15.3 SSE, TX US",27.295891,-97.792657,8.8,TX
348378,US1TXNU0022,"BISHOP 0.9 ENE, TX US",27.5914,-97.7847,18.0,TX
357306,USC00416017,"MONTE ALTO, TX US",26.55,-97.96667,11.9,TX
358329,USC00410073,"AGUA DULCE, TX US",27.78333,-97.9,25.9,TX
358502,US1TXNU0012,"ORANGE GROVE 4.5 SE, TX US",27.908074,-97.889426,36.0,TX
359955,US1TXJW0006,"ORANGE GROVE 3.3 NW, TX US",27.992672,-97.973464,64.3,TX
360006,USC00415089,"LAURELES RANCH, TX US",27.583333,-97.966667,6.1,TX
361376,US1TXLO0014,"SANDIA 5.1 NNW, TX US",28.08472222,-97.91722222,28.7,TX
362226,US1TXKL0009,"KINGSVILLE 3.0 S, TX US",27.46573,-97.8571,9.4,TX
362369,USC00415661,"MATHIS 4 SSW, TX US",28.0372,-97.8725,42.1,TX
363614,US1TXKL0011,"KINGSVILLE 0.6 E, TX US",27.507757,-97.851582,17.1,TX
365606,USC00414810,"KINGSVILLE, TX US",27.5311,-97.8497,17.4,TX
377406,USC00418060,"SANTA ROSA, TX US",26.25,-97.83333,14.9,TX
378122,US1TXNU0046,"SANDIA 6.5 SSE, TX US",27.928151,-97.834437,36.6,TX
